,,km,km,km,km,by,by,by,by,co,co,co,co
,,davies_bouldin,calinski,silhouette,xie_beni,davies_bouldin,calinski,silhouette,xie_beni,davies_bouldin,calinski,silhouette,xie_beni
data_name,n_byzantines,,,,,,,,,,,,
motion,1,3.0576450096138146,9005.04822396609,0.0718206914512719,2.650396702250092,2.957548965909964,8493.06863636716,0.0598241882013687,2.654474562717967,3.0928590883702585,8969.750151981965,0.0702144163458109,2.5478468351503807
motion,2,3.0576450096138146,9005.04822396609,0.0718206914512719,2.650396702250092,1.949548033424732,7216.643115769144,0.0747137730030139,2.45427512800843,3.0946429739679524,8969.770644036575,0.0701870889223476,2.5519924827855576
motion,3,3.0576450096138146,9005.04822396609,0.0718206914512719,2.650396702250092,1.9362635584915044,7124.967071176888,0.0737433522539355,2.490048426729632,3.092620119577906,8969.50900707412,0.0703362093594694,2.53321800495769
motion,4,3.0576450096138146,9005.04822396609,0.0718206914512719,2.650396702250092,1.8050698882372955,5260.833416246205,0.0350762841584584,2.4179608858327706,3.0890735543725407,8969.074020423148,0.0704102134555164,2.5219694345077435
motion,5,3.0576450096138146,9005.04822396609,0.0718206914512719,2.650396702250092,1.7463180148309945,3735.5320443528713,0.0119064317640413,2.4322244096202343,3.089416040324469,8968.72104882262,0.070548776930722,2.5199987055509045
motion,6,3.0576450096138146,9005.04822396609,0.07182069145127191,2.6503967022500916,1.67553877857632,2684.0956174787116,0.0015548447125405959,2.2725370349524874,3.092376387989024,8968.725471777243,0.07032599082713775,2.531991202136706
click,1,0.4981947870680043,853191.186905471,0.57643266125802,0.0835267996227154,0.4930187785823612,357268.90391078225,0.5155868816351514,0.7083287393725851,0.49819227670645,853191.2819657845,0.5764317623260186,0.0835062682352376
click,2,0.4981947870680043,853191.186905471,0.57643266125802,0.0835267996227154,0.5034155083944776,164762.6996537419,0.4321621066816707,4.282446689778032,0.4981910089308156,853190.2976430403,0.5764289096977073,0.0834979729780303
click,3,0.4981947870680043,853191.186905471,0.57643266125802,0.0835267996227154,0.4998082573877869,98801.05023816788,0.3764808140691816,16.562604325460775,0.4982097971945812,853190.7586386282,0.576420918259211,0.0835179068097176
click,4,0.4981947870680043,853191.186905471,0.57643266125802,0.0835267996227154,0.50785700282363,63893.121884352455,0.3291234441738644,59.05628119131521,0.4981932441907593,853190.8897975853,0.5764350557981204,0.0835480829798655
click,5,0.4981947870680043,853191.186905471,0.57643266125802,0.0835267996227154,0.5165692612892088,40779.12600927932,0.2857244935089761,228.56604890510968,0.4989780710507678,748059.696666556,0.556110860461734,0.1212892929637472
click,6,0.4981947870680043,853191.186905471,0.57643266125802,0.0835267996227154,0.5105499467944945,27113.74504962124,0.2573035628189923,890.4685509969619,0.5015073338035112,515517.40395052114,0.529707075689449,0.2624915595721701
apartment,1,0.2631037940910423,37449632.03604259,0.984686431483041,0.0024988050233808,,,,,0.26294121872041,37448379.714605615,0.9846835403462086,0.0024925655628752
apartment,2,0.2631037940910423,37449632.03604259,0.984686431483041,0.0024988050233808,,,,,0.2615675685507059,37348366.83824917,0.9846526002773056,0.0024395992249393
apartment,3,0.2631037940910423,37449632.03604259,0.984686431483041,0.0024988050233808,,,,,0.2612057451143392,37350774.270907,0.9846519226031129,0.002439442064684
apartment,4,0.2631037940910423,37449632.03604259,0.984686431483041,0.0024988050233808,,,,,0.2627832007380045,37442316.31916121,0.9846791011288104,0.0024867483665863
apartment,5,0.2631037940910423,37449632.03604259,0.984686431483041,0.0024988050233808,,,,,0.2629167477789469,37436842.19310831,0.9846712268893292,0.0024930448937203
apartment,6,0.2631037940910423,37449632.03604259,0.984686431483041,0.0024988050233808,,,,,0.2613727264577715,37430654.29952216,0.9846661183332928,0.0024974917263257
